epoch,train_loss,val_acc,val_mean_1_to_6,auth,quality,uncertainty,diversity,info_gain,cost,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.5146941434920935,0.8990384615384616,0.9014423076923078,0.5146941434920935,0.0,0.0,0.0,0.0,0.0,0.8269230769230769,0.9038461538461539,0.9423076923076923,0.8990384615384616,0.9375,0.8990384615384616
2,0.4151910096712915,0.9230769230769231,0.920673076923077,0.4151910096712915,0.0,0.0,0.0,0.0,0.0,0.9038461538461539,0.9375,0.9326923076923077,0.9471153846153846,0.8798076923076923,0.9230769230769231
3,0.3271434413578966,0.9182692307692307,0.9487179487179488,0.3271434413578966,0.0,0.0,0.0,0.0,0.0,0.9663461538461539,0.9759615384615384,0.9375,0.9423076923076923,0.9519230769230769,0.9182692307692307
4,0.34967373710056837,0.7836538461538461,0.8701923076923076,0.34967373710056837,0.0,0.0,0.0,0.0,0.0,0.9471153846153846,0.9423076923076923,0.7884615384615384,0.8701923076923077,0.8894230769230769,0.7836538461538461
5,0.35527488834834686,0.9759615384615384,0.9527243589743589,0.35527488834834686,0.0,0.0,0.0,0.0,0.0,0.9471153846153846,0.9423076923076923,0.9663461538461539,0.9375,0.9471153846153846,0.9759615384615384
6,0.3082574900599231,0.9423076923076923,0.952724358974359,0.3082574900599231,0.0,0.0,0.0,0.0,0.0,0.9855769230769231,0.9759615384615384,0.8990384615384616,0.9326923076923077,0.9807692307692307,0.9423076923076923
