epoch,train_loss,val_mean_1_to_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,1.1713660310426042,0.9158653846153847,0.8076923076923077,0.8846153846153846,0.9423076923076923,0.9615384615384616,0.9519230769230769,0.9471153846153846
2,0.9949131046232501,0.9575320512820514,0.9326923076923077,0.9519230769230769,0.9615384615384616,0.9759615384615384,0.9567307692307693,0.9663461538461539
3,0.815698570906504,0.9471153846153847,0.9471153846153846,0.9471153846153846,0.9471153846153846,0.9615384615384616,0.9326923076923077,0.9471153846153846
4,0.7940158309143427,0.9775641025641026,0.9567307692307693,0.9711538461538461,0.9855769230769231,0.9855769230769231,0.9807692307692307,0.9855769230769231
