epoch,train_loss,val_acc,val_mean_1_to_6,auth,quality,uncertainty,diversity,info_gain,cost,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.5719479753863396,0.8557692307692307,0.6947115384615384,0.43137684971614293,0.38914638157987497,0.0,0.43284530145186906,0.0,0.0,0.6778846153846154,0.49038461538461536,0.6442307692307693,0.7548076923076923,0.7451923076923077,0.8557692307692307
2,1.0545154352207693,0.5961538461538461,0.6330128205128205,0.9466017961609168,0.25238215124705,0.0,0.44818104525121577,0.0,0.0,0.5865384615384616,0.6730769230769231,0.6778846153846154,0.6394230769230769,0.625,0.5961538461538461
3,1.4864731569309744,0.5961538461538461,0.6354166666666667,1.3960255793232692,0.17604465938691485,0.0,0.4643640998574987,0.0,0.0,0.5913461538461539,0.6826923076923077,0.6826923076923077,0.6346153846153846,0.625,0.5961538461538461
4,1.3908602692018543,0.5913461538461539,0.6354166666666666,1.2986399537484015,0.1851038449965953,0.0,0.45944350945631335,0.0,0.0,0.5961538461538461,0.6826923076923077,0.6826923076923077,0.6346153846153846,0.625,0.5913461538461539
