epoch,train_loss,val_acc,val_mean_1_to_6,auth,quality,uncertainty,diversity,info_gain,cost,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.5402669683251783,0.8894230769230769,0.7059294871794872,0.43366556589776606,0.4264056029016232,0.0,0.0,0.0,0.0,0.5913461538461539,0.49038461538461536,0.7115384615384616,0.7836538461538461,0.7692307692307693,0.8894230769230769
2,0.34195645981194794,0.9663461538461539,0.7556089743589745,0.2523588896375264,0.3583902876357523,0.0,0.0,0.0,0.0,0.5336538461538461,0.5288461538461539,0.7403846153846154,0.8846153846153846,0.8798076923076923,0.9663461538461539
3,0.2838030853433041,0.9663461538461539,0.7532051282051282,0.20153607917926608,0.3290680241780604,0.0,0.0,0.0,0.0,0.5240384615384616,0.4807692307692308,0.7355769230769231,0.9182692307692307,0.8942307692307693,0.9663461538461539
4,0.27307254770575606,0.9807692307692307,0.7291666666666666,0.1952552124917664,0.3112693380648595,0.0,0.0,0.0,0.0,0.46153846153846156,0.4519230769230769,0.7259615384615384,0.8846153846153846,0.8701923076923077,0.9807692307692307
