epoch,train_loss,val_acc,val_mean_1_to_6,auth,quality,uncertainty,diversity,info_gain,cost,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.665684247959321,0.7259615384615384,0.624198717948718,0.45111826258028803,0.39059022197488397,0.12842674863962666,0.4765441177806815,0.0,1.0,0.6153846153846154,0.49038461538461536,0.5721153846153846,0.6730769230769231,0.6682692307692307,0.7259615384615384
2,0.6186005732606813,0.9038461538461539,0.7299679487179488,0.4184177726109415,0.3753913160385954,0.06685212673810627,0.46307147442682567,0.0,1.0,0.6394230769230769,0.5288461538461539,0.7115384615384616,0.8076923076923077,0.7884615384615384,0.9038461538461539
3,0.5853305025756727,0.9519230769230769,0.8245192307692308,0.3747195500260873,0.4181620168367695,0.06508339856783774,0.4630793260842623,0.0,1.0,0.5769230769230769,0.7692307692307693,0.8413461538461539,0.9086538461538461,0.8990384615384616,0.9519230769230769
4,0.4999179233026211,0.9182692307692307,0.7339743589743589,0.29271973153954906,0.41315803299981907,0.04975543965964895,0.46445359580325885,0.0,1.0,0.5625,0.5384615384615384,0.7403846153846154,0.8173076923076923,0.8269230769230769,0.9182692307692307
