epoch,train_loss,val_acc,val_mean_1_to_6,auth,quality,uncertainty,diversity,info_gain,cost,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.540844059241381,0.7980769230769231,0.7379807692307693,0.4972988988676355,0.0,0.0,0.435451584674984,0.0,0.0,0.8509615384615384,0.7451923076923077,0.6730769230769231,0.6923076923076923,0.6682692307692307,0.7980769230769231
2,0.3763941569861935,0.9567307692307693,0.889423076923077,0.33477825282076545,0.0,0.0,0.41615902533031834,0.0,0.0,0.8076923076923077,0.8942307692307693,0.8894230769230769,0.8990384615384616,0.8894230769230769,0.9567307692307693
3,0.37796028958943345,0.9519230769230769,0.9046474358974358,0.33616564027750884,0.0,0.0,0.4179464931727924,0.0,0.0,0.7403846153846154,0.8990384615384616,0.9278846153846154,0.9519230769230769,0.9567307692307693,0.9519230769230769
4,0.44823062961473603,0.9519230769230769,0.9046474358974358,0.4091513609471568,0.0,0.0,0.39079269209926376,0.0,0.0,0.6826923076923077,0.9230769230769231,0.9375,0.9663461538461539,0.9663461538461539,0.9519230769230769
