epoch,train_loss,val_mean_1_to_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6
1,0.6512220937613344,0.8525641025641025,0.8798076923076923,0.8798076923076923,0.8317307692307693,0.8413461538461539,0.8221153846153846,0.8605769230769231
2,0.5461340326303329,0.9254807692307693,0.8846153846153846,0.9471153846153846,0.9230769230769231,0.9375,0.9182692307692307,0.9423076923076923
3,0.5364193385141831,0.9246794871794872,0.8990384615384616,0.9134615384615384,0.9278846153846154,0.9375,0.9326923076923077,0.9375
4,0.4062164182290894,0.9495192307692307,0.9086538461538461,0.9519230769230769,0.9663461538461539,0.9663461538461539,0.9471153846153846,0.9567307692307693
