ablation,accuracy,average_views,ece,f1,pct_all_six,roc_auc
A_cnnvit_simple_averaging,0.9182692307692307,,0.07889068069925999,0.9328063241106719,,0.9709280303030303
B_attention_off_mean,0.7884615384615384,6.0,0.18248247840305198,0.7777777777777779,,0.9168560606060606
C_attention_fusion,0.9663461538461539,6.0,0.040868062878365974,0.9707112970711297,,0.9828598484848485
D_quality_aware_no_adaptive,0.9663461538461539,6.0,0.04086742558781362,0.9707112970711297,,0.9828598484848485
E_full_camva_adaptive,0.6778846153846154,1.8798076923076923,0.3021418923183844,0.6417112299465241,0.07211538461538461,0.7526515151515152
