n_views,baseline_accuracy,baseline_f1,baseline_sensitivity,baseline_specificity,baseline_roc_auc,baseline_pr_auc,baseline_ece,baseline_latency_median_ms,camva_accuracy,camva_f1,camva_sensitivity,camva_specificity,camva_roc_auc,camva_pr_auc,camva_ece,camva_latency_median_ms,absolute_improvement_acc,relative_improvement_acc,paired_p_accuracy,paired_diff_acc
1,0.7355769230769231,0.8122866894197953,0.9916666666666667,0.38636363636363635,0.9134469696969697,0.937366888785797,0.2159914535452397,1.3384687517827842,0.5336538461538461,0.5570776255707762,0.5083333333333333,0.5681818181818182,0.5840909090909091,0.68603839268896,0.3077121979944282,1.3828437477059197,-0.20192307692307698,-0.2745098039215687,0.0,-0.2000721153846154
2,0.8701923076923077,0.8949416342412451,0.9583333333333334,0.75,0.9625,0.9714216179762172,0.08276242038174625,1.2626499992620666,0.5721153846153846,0.4258064516129032,0.275,0.9772727272727273,0.8235795454545455,0.8758842235662085,0.3815041202926356,1.4326124983199406,-0.29807692307692313,-0.34254143646408847,0.0,-0.2987692307692308
3,0.9134615384615384,0.9274193548387096,0.9583333333333334,0.8522727272727273,0.965814393939394,0.9690488323551025,0.040582755110685514,1.41457500285469,0.6923076923076923,0.6404494382022471,0.475,0.9886363636363636,0.8964015151515151,0.9272873191347057,0.2881089195411002,1.5064375002111774,-0.22115384615384615,-0.24210526315789474,0.0,-0.2215625
4,0.9182692307692307,0.9317269076305221,0.9666666666666667,0.8522727272727273,0.9625,0.9651405809863155,0.04000948256725674,1.456768746720627,0.7067307692307693,0.6702702702702703,0.5166666666666667,0.9659090909090909,0.9107954545454545,0.9345497076114675,0.2493781904005969,1.519931247457862,-0.21153846153846145,-0.23036649214659677,0.0,-0.21088461538461536
5,0.8990384615384616,0.9142857142857143,0.9333333333333333,0.8522727272727273,0.9627840909090909,0.9685332336807575,0.039461034431811814,1.4611937513109297,0.7403846153846154,0.71875,0.575,0.9659090909090909,0.9105113636363636,0.9351265934756814,0.24449361800877842,1.4681749998999294,-0.15865384615384615,-0.1764705882352941,0.0,-0.15783653846153844
6,0.9182692307692307,0.9328063241106719,0.9833333333333333,0.8295454545454546,0.9709280303030303,0.9732690663582091,0.07889068069925999,1.4538437499140855,0.9663461538461539,0.9707112970711297,0.9666666666666667,0.9659090909090909,0.9828598484848485,0.9759821441393837,0.04086742558781362,1.590399999258807,0.04807692307692313,0.05235602094240843,0.026,0.04783653846153846
